word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
invasion,0.594,0,0,0,0,0,0,0
storming,0.594,0,0,0,0,0,0,0
wretch,0.594,0,0.695,0,0,0.672,0,0
consternation,0.592,0,0,0.359,0,0,0,0
raving,0.591,0.531,0,0.500,0.578,0,0.578,0
forcibly,0.591,0,0,0.700,0,0,0,0
guillotine,0.591,0.398,0.617,0.859,0,0.446,0,0
guilty,0.591,0,0,0,0,0.609,0,0
depraved,0.591,0.391,0.703,0.734,0,0.688,0,0
immoral,0.591,0,0.648,0.410,0,0.578,0,0
overpowering,0.591,0,0,0.562,0,0,0,0
scare,0.588,0.469,0,0.844,0,0,0.797,0
recalcitrant,0.588,0,0.445,0,0,0,0,0
screwed,0.588,0,0,0,0,0,0,0
accursed,0.588,0,0,0.594,0,0.697,0,0
soannoyed,0.588,0,0,0,0,0,0,0
invader,0.588,0,0,0.766,0,0.420,0,0
jealousy,0.587,0,0.500,0.365,0,0.382,0,0.188
indignation,0.587,0,0.453,0,0,0,0,0
vexed,0.586,0,0,0,0,0,0,0
confront,0.582,0,0,0,0,0,0,0
brute,0.581,0,0,0.500,0,0.391,0,0
throttle,0.579,0,0,0,0,0,0,0
slut,0.578,0,0.703,0,0,0,0,0
coup,0.578,0,0,0,0,0,0.609,0
blaze,0.578,0,0,0,0,0,0,0
pillage,0.578,0,0.547,0.574,0,0,0,0
provoking,0.578,0,0.328,0,0,0,0,0
damage,0.578,0,0.391,0,0,0.578,0,0
criminality,0.578,0,0.641,0.642,0,0,0,0
shutup,0.578,0,0,0,0,0,0,0
lash,0.578,0,0,0.484,0,0,0,0
conflict,0.578,0,0,0.641,0,0.469,0,0
contentious,0.578,0,0.422,0.344,0,0,0,0
shutit,0.578,0,0,0,0,0,0,0
wreck,0.578,0,0.492,0.641,0,0.453,0.742,0
defiant,0.578,0,0,0,0,0,0,0
butcher,0.578,0,0.594,0.609,0,0,0,0
incarceration,0.578,0,0.523,0.625,0,0.641,0,0
revolver,0.578,0,0,0.672,0,0.453,0,0
bickering,0.578,0,0.336,0,0,0,0,0
yousuck,0.578,0,0,0,0,0,0,0
cancer,0.577,0,0.734,0.828,0,0.875,0,0
discriminate,0.576,0,0,0,0,0.453,0,0
gun,0.576,0,0,0.734,0,0,0,0
frustration,0.576,0,0,0,0,0,0,0
gory,0.576,0,0.820,0.688,0,0.672,0,0
pernicious,0.576,0,0,0.516,0,0.469,0,0
dontmess,0.576,0,0,0,0,0,0,0
blasphemy,0.576,0,0,0,0,0,0,0
chaotic,0.576,0,0,0,0,0,0,0
grope,0.576,0,0.703,0.453,0,0,0,0
alienation,0.576,0,0.375,0.609,0,0.685,0,0
disturbance,0.576,0,0,0.459,0,0.484,0.688,0
condescension,0.576,0,0.531,0,0,0.391,0,0
standoff,0.576,0,0,0.716,0,0,0,0
discord,0.576,0,0.383,0,0,0,0,0
friggen,0.575,0,0,0,0,0,0,0
sneer,0.574,0,0.539,0,0,0,0,0
death,0.574,0.398,0.656,0.843,0,0.915,0.578,0
lunacy,0.574,0,0.602,0.625,0,0.438,0,0
scandalous,0.574,0,0,0,0,0,0,0
oppressive,0.574,0,0.633,0.656,0,0.625,0,0
jab,0.574,0,0,0,0,0,0,0
cursed,0.574,0,0,0.734,0,0.625,0,0
monstrosity,0.574,0,0.781,0.797,0,0,0.594,0
shit,0.573,0,0.820,0,0,0,0,0
disparaging,0.571,0,0.523,0,0,0.609,0,0
slash,0.571,0,0,0,0,0,0,0
unfair,0.571,0,0.281,0,0,0.500,0,0
gallows,0.570,0,0,0.686,0,0.797,0,0
escalate,0.569,0,0,0,0,0,0,0
intolerant,0.564,0,0.531,0.500,0,0.500,0,0
lawlessness,0.563,0,0,0.531,0,0,0,0
